form	lemma	POS	morph
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
གྱུར་	གྱུར་	VERB
།		PUNCT
པ་	པ་	OTHER
ར་	ལ་	PART
བཟླས་པ་	བཟླས་པ་	VERB
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
འི་	གི་	PART
སོགས་	སོགས་	DET
རྡོ་		
གསོར་	གསོར་	NO_POS
དང་	དང་	NO_POS
བཞི་	བཞི་	NUM
དྲིལ་	དྲིལ་	VERB
བཅའ་	བཅའ་	VERB
ཆོས་སྤྱོད་	ཆོས་སྤྱོད་	NOUN
།		PUNCT
མ་	མ་	PART
ལུས་སེམས་	ལུས་སེམས་	NOUN
ཅན་	ཅན་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
སུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
། །		PUNCT
བ་	བ་	NOUN
ཡོ་	ཡོ་	OTHER
གདངས་	གདངས་	NOUN
ལྷུག་	ལྷུག་	NO_POS
གཉིས་	གཉིས་	NUM
གང་	གང་	NO_POS
བདེ་	བདེ་	VERB
མཇུག་	མཇུག་	NOUN
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
པད་	པད་	NO_POS
མེད་	མེད་	VERB
རང་	རང་	PRON
རྒྱ་	རྒྱ་	VERB
ཨརྒྷཾ་		NON_WORD
སོགས་	སོགས་	DET
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
ཡོ་ག་	ཡོ་ག་	NOUN
བཞི་	བཞི་	NUM
དྲིལ་	དྲིལ་	VERB
བཅའ་	བཅའ་	VERB
།		PUNCT
བསྟོད་པ་	བསྟོད་པ་	VERB
ར་	ལ་	PART
འོས་པ་	འོས་པ་	VERB
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
ལྷ་ཚོགས་	ལྷ་ཚོགས་	NOUN
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ཐིམ་པ་	ཐིམ་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
བ་	བ་	NOUN
།		PUNCT
རྟེན་	རྟེན་	NOUN
སྙིང་	སྙིང་	NOUN
ཉེ་	ཉེ་	NUM
གཅིག་	གཅིག་	NUM
བཟླས་	བཟླས་	NO_POS
ཏེ་	སྟེ་	PART
སཱཙྪ་		NON_WORD
ལ་	ལ་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
འཐོར་	འཐོར་	VERB
།		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
།		PUNCT
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
རྣམས་	རྣམས་	DET
སོ་	གོ་	PART
།		PUNCT
བ་	བ་	NOUN
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཞྭ་	ཞྭ་	NO_POS
བཅའ་	བཅའ་	VERB
།		PUNCT
ཡེ་	ཡེ་	ADV
དྷར་		NON_WORD
དང་	དང་	NO_POS
དྲིལ་	དྲིལ་	VERB
བསིལ་	བསིལ་	NO_POS
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
ས་	གིས་	PART
རང་	རང་	PRON
གདངས་	གདངས་	NOUN
གང་	གང་	NO_POS
བདེ་	བདེ་	VERB
བཞི་	བཞི་	NUM
དྲིལ་	དྲིལ་	VERB
བཅའ་	བཅའ་	VERB
།		PUNCT
ཕུན་སུམ་	ཕུན་སུམ་	OTHER
ཚོགས་པ་	ཚོགས་པ་	VERB
སོགས་	སོགས་	DET
།		PUNCT
མཇུག་	མཇུག་	NOUN
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
ཞྭ་	ཞྭ་	NO_POS
ཕུད་	ཕུད་	NO_POS
པད་	པད་	NO_POS
མེད་	མེད་	VERB
རང་	རང་	PRON
རྒྱ་	རྒྱ་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
ཨརྒྷཾ་		NON_WORD
སོགས་	སོགས་	DET
རོལ་	རོལ་	VERB
སིལ་	སིལ་	NO_POS
།		PUNCT
བཞི་	བཞི་	NUM
དྲིལ་	དྲིལ་	VERB
དང་	དང་	NO_POS
ཡོ་	ཡོ་	OTHER
གདངས་	གདངས་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
བསྟོད་པ་	བསྟོད་པ་	VERB
ར་	ལ་	PART
འོས་པ་	འོས་པ་	VERB
སོགས་	སོགས་	DET
དྲིལ་	དྲིལ་	VERB
བཞག་	བཞག་	VERB
།		PUNCT
ལྷུག་	ལྷུག་	NO_POS
གི་	གི་	PART
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
སུ་	ལ་	PART
དག་	དག་	DET
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
བསྔོ་བ་	བསྔོ་བ་	VERB
ར་	ལ་	PART
།		PUNCT
སྔགས་	སྔགས་	NOUN
དྲུག་	དྲུག་	NUM
ཕྱག་	ཕྱག་	NOUN
དྲུག་	དྲུག་	NUM
སྐབས་	སྐབས་	NOUN
པད་	པད་	NO_POS
མེད་	མེད་	VERB
རང་	རང་	PRON
རྒྱ་	རྒྱ་	NOUN
བཅའ་	བཅའ་	VERB
སོ་སོ་	སོ་སོ་	PRON
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཚ་	ཚ་	VERB
གསུམ་	གསུམ་	NUM
རེ་	རེ་	DET
དང་	དང་	NO_POS
གྱུར་	གྱུར་	VERB
ཞེ་	ཅེས་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བཀྲོལ་	བཀྲོལ་	VERB
ཏེ་སེ་	ཏེ་སེ་	NO_POS
གོལ་	གོལ་	NO_POS
བྱ་	བྱ་	VERB
།		PUNCT
ན་མོ་	ན་མོ་	X
།		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
འི་	གི་	PART
སོགས་	སོགས་	DET
ལྷུག་	ལྷུག་	NO_POS
འདོན་	འདོན་	VERB
།		PUNCT
སྐབས་	སྐབས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
གསེར་སྐྱེམས་	གསེར་སྐྱེམས་	OTHER
འདོན་	འདོན་	VERB
ན་	ལ་	PART
རང་	རང་	PRON
རོལ་	རོལ་	VERB
བཅའ་	བཅའ་	VERB
འདོན་	འདོན་	VERB
རྗེས་	རྗེས་	NOUN
ཟོལ་	ཟོལ་	NOUN
འཇུག་	འཇུག་	VERB
དང་	དང་	NO_POS
།		PUNCT
གསེར་སྐྱེམས་	གསེར་སྐྱེམས་	OTHER
མ་	མ་	PART
འདོན་	འདོན་	VERB
ན་	ལ་	PART
ཐང་	ཐང་	NOUN
ཟིལ་	ཟིལ་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
སྦྲཾ་		NON_WORD
སྦྲཾ་		NON_WORD
ཐང་	ཐང་	NOUN
		
ཐང་	ཐང་	NOUN
སྦྲཾ་		NON_WORD
ཐང་	ཐང་	NOUN
སྦྲཾ་		NON_WORD
ཐང་	ཐང་	NOUN
ཟད་	ཟད་	VERB
དང་	དང་	NO_POS
རྩེ་ཕྲན་	རྩེ་ཕྲན་	NO_POS
གྱིས་	གིས་	PART
།		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྐང་	རྐང་	NOUN
གཉིས་	གཉིས་	NUM
གཙོ་	གཙོ་	NOUN
སྟེ་	སྟེ་	PART
བདེན་པ་	བདེན་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
།		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
ཆགས་	ཆགས་	VERB
དང་	དང་	NO_POS
བྲལ་	བྲལ་	VERB
ཏེ་	སྟེ་	PART
བདེན་པ་	བདེན་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
།		PUNCT
དགེ་འདུན་	དགེ་འདུན་	NOUN
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
གཙོ་	གཙོ་	NOUN
སྟེ་	སྟེ་	PART
བདེན་པ་	བདེན་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
།		PUNCT
བདེན་པ་	བདེན་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
ནི་	ནི་	NO_POS
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བཀའ་	བཀའ་	NOUN
། །		PUNCT
སྦྲཾ་		NON_WORD
		
སོགས་	སོགས་	DET
རོལ་	རོལ་	VERB
།		PUNCT
གདངས་	གདངས་	NOUN
གོང་	གོང་	NOUN
ལྟ་	ལྟ་	OTHER
གྱི་	གི་	PART
བཀའ་	བཀའ་	NOUN
ལ་	ལ་	PART
ཉོན་	ཉོན་	VERB
།		PUNCT
བ་	བ་	NOUN
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བཟློག་	བཟློག་	VERB
རོལ་	རོལ་	VERB
ཆུང་བ་	ཆུང་བ་	VERB
གཉིས་	གཉིས་	NUM
བརྩེགས་	བརྩེགས་	NO_POS
ཀྱིས་	གིས་	PART
།		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
།		PUNCT
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
འདི་	འདི་	DET
ན་	ལ་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
སོ་	སོ་	PART
ར་	ལ་	PART
བཞི་	བཞི་	NUM
ཡི་	གི་	PART
རྩེ་	རྩེ་	NOUN
ལ་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
།		PUNCT
སྦྲཾ་		NON_WORD
སོགས་	སོགས་	DET
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
རོལ་	རོལ་	VERB
དང་	དང་	NO_POS
ཟིལ་	ཟིལ་	NOUN
འབེབས་	འབེབས་	VERB
འོག་	འོག་	NOUN
སྔགས་	སྔགས་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
རོལ་	རོལ་	VERB
གྱིས་	གིས་	PART
།		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
།		PUNCT
སྔོན་ཚེ་	སྔོན་ཚེ་	NO_POS
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
སྲིད་ཞི་	སྲིད་ཞི་	NOUN
འི་	གི་	PART
མགྲོན་	མགྲོན་	NOUN
དང་	དང་	NO_POS
ལྡན་	ལྡན་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
།		PUNCT
སྦྲཾ་		NON_WORD
སྦྲཾ་		NON_WORD
		
སྦྲཾ་		NON_WORD
སྦྲཾ་		NON_WORD
གྱིས་	གིས་	PART
བཞག་	བཞག་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཁ་	ཁ་	PRON
འབའ་	འབའ་	VERB
མ་	མ་	PART
འི་	གི་	PART
སྔགས་	སྔགས་	NOUN
།		PUNCT
ན་	ལ་	PART
མཿ་		NON_WORD
ས་	ས་	ADP
མནྟ་		NON_WORD
བུདྡྷ་		NON_WORD
ནཱཾ་		NON_WORD
།		PUNCT
ན་	ལ་	PART
མཿ་		NON_WORD
སརྦ་	སརྦ་	NO_POS
ཏ་	ཏ་	OTHER
ཐཱ་		NON_WORD
ག་	ག་	PRON
ཏ་	ཏ་	OTHER
ཨ་ཝ་	ཨ་ཝ་	NO_POS
ལོ་	གོ་	PART
ཀི་	ཀི་	ADP
ཏེ་	སྟེ་	PART
ཨོཾ་	ཨོཾ་	X
སམྦྷ་		NON_WORD
ར་	ར་	ADP
སམྦྷ་		NON_WORD
ར་	ར་	ADP
ཧཱུྃ་		NON_WORD
།		PUNCT
གིས་	གིས་	PART
བསྔོ་	བསྔོ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
འཁོར་	འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
དང་	དང་	NO_POS
བསོད་ནམས་	བསོད་ནམས་	NOUN
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
ཀྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
གཅོད་པ་	གཅོད་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཤིནྟཾ་		NON_WORD
ཀུ་རུ་	ཀུ་རུ་	NO_POS
ཡེ་	ཡེ་	ADV
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ས་	ས་	ADP
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
གསོལ་	གསོལ་	VERB
།		PUNCT
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མི་	མི་	PART
འབྱུང་	འབྱུང་	VERB
ཡང་	ཀྱང་	PART
ཞལ་ཁྲིད་	ཞལ་ཁྲིད་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
ལྟ་	ལྟ་	OTHER
བཀོད་པ་	བཀོད་པ་	VERB
ལགས་	ལགས་	AUX
།		PUNCT
མཆན་	མཆན་	NOUN
།		PUNCT
གོང་	གོང་	NOUN
དུ་	ལ་	PART
གསེར་སྐྱེམས་	གསེར་སྐྱེམས་	OTHER
མ་	མ་	PART
གྲུབ་	གྲུབ་	VERB
ན་	ལ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
བཏང་	བཏང་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
མགོ་	མགོ་	NOUN
རོལ་	རོལ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ཀྱཻ་		NON_WORD
།		PUNCT
མཐོ་བ་	མཐོ་བ་	VERB
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
རླུང་ལྷ་	རླུང་ལྷ་	OTHER
འི་	གི་	PART
དམག་ཚོགས་	དམག་ཚོགས་	NO_POS
བཟློག་	བཟློག་	VERB
ཏུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨ་པ་	ཨ་པ་	OTHER
ར་	ར་	ADP
ཙཀྲ་	ཙཀྲ་	NO_POS
སོགས་	སོགས་	DET
སྦྲཾ་		NON_WORD
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
གིས་	གིས་	PART
བཞག་	བཞག་	VERB
ཟིལ་	ཟིལ་	NOUN
མེད་	མེད་	VERB
།		PUNCT
སྐབས་	སྐབས་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
གཞུང་	གཞུང་	NOUN
གསལ་	གསལ་	VERB
ལྟ་	ལྟ་	OTHER
གསེར་སྐྱེམས་	གསེར་སྐྱེམས་	OTHER
འབུལ་	འབུལ་	NO_POS
ཞིང་	ཅིང་	PART
ན་	ནས་	PART
ནག་	ནག་	VERB
གིས་	གིས་	PART
བྲབ་	བྲབ་	NO_POS
།		PUNCT
རྃ་		NON_WORD
ཡྃ་		NON_WORD
ཁྃ་		NON_WORD
།		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
བ་	བ་	NOUN
།		PUNCT
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
མཛོད་	མཛོད་	NOUN
ཀྱི་	གི་	PART
སྔགས་	སྔགས་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བཅའ་	བཅའ་	VERB
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
འགོ་	འགོ་	NO_POS
རོལ་	རོལ་	VERB
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
།		PUNCT
ཧཱུྃ་		NON_WORD
།		PUNCT
སྲིད་	སྲིད་	NOUN
གསུམ་	གསུམ་	NUM
འདི་	འདི་	DET
ན་	ལ་	PART
སོགས་	སོགས་	DET
ན་	ནས་	PART
།		PUNCT
སྐྱེ་མཆེད་	སྐྱེ་མཆེད་	NOUN
མུ་བཞི་	མུ་བཞི་	NO_POS
འི་	གི་	PART
གནས་	གནས་	NOUN
སུ་	ལ་	PART
དེངས་	དེངས་	NO_POS
། །		PUNCT
བ་	བ་	NOUN
བཏང་	བཏང་	VERB
བཟློག་	བཟློག་	VERB
ཆུང་	ཆུང་	VERB
གིས་	གིས་	PART
བཞག་	བཞག་	VERB
ཟིལ་	ཟིལ་	NOUN
མེད་	མེད་	VERB
།		PUNCT
ཐལ་སྦྱར་	ཐལ་སྦྱར་	NO_POS
མེ་ཏོག་	མེ་ཏོག་	NOUN
བཅའ་	བཅའ་	VERB
།		PUNCT
ན་མོ་	ན་མོ་	X
།		PUNCT
བརྒྱ་	བརྒྱ་	NUM
